"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0036389","Jalen Hurts",167,11.1,32.2,"QB","PHI",30.5
2,"00-0034857","Josh Allen",125,7.8,27,"QB","BUF",28.9
3,"00-0036945","Justin Fields",160,10.7,32.8,"QB","CHI",28.7
4,"00-0035710","Daniel Jones",120,7.5,30.6,"QB","NYG",23
5,"00-0034796","Lamar Jackson",112,9.3,31,"QB","BAL",21.3
6,"00-0036442","Joe Burrow",75,4.7,25,"QB","CIN",18.8
7,"00-0030565","Geno Smith",68,4,25,"QB","SEA",16
8,"00-0035228","Kyler Murray",68,6.2,25.6,"QB","ARI",15.6
9,"00-0032268","Marcus Mariota",85,6.5,32.9,"QB","ATL",15.2
10,"00-0033873","Patrick Mahomes",62,3.9,24.6,"QB","KC",14.8
11,"00-0036971","Trevor Lawrence",62,3.6,26.4,"QB","JAX",13.8
12,"00-0036355","Justin Herbert",54,3.2,23.8,"QB","LAC",13.4
13,"00-0029263","Russell Wilson",55,3.7,26.2,"QB","DEN",12.4
14,"00-0036972","Mac Jones",47,3.6,25,"QB","NE",11.1
15,"00-0038102","Kenny Pickett",55,4.2,29.4,"QB","PIT",11
16,"00-0033119","Jacoby Brissett",49,3.8,31.4,"QB","CLE",9.2
17,"00-0033077","Dak Prescott",45,4.1,31.3,"QB","DAL",8.5
18,"00-0035993","Tyler Huntley",44,8.8,31,"QB","BAL",8.3
19,"00-0036898","Davis Mills",32,2.9,23.5,"QB","HOU",8
20,"00-0029604","Kirk Cousins",31,2.6,23.8,"QB","MIN",7.7
21,"00-0019596","Tom Brady",29,2.1,22.8,"QB","TB",7.5
22,"00-0023459","Aaron Rodgers",34,2.4,26.8,"QB","GB",7.5
23,"00-0029701","Ryan Tannehill",34,2.8,28.6,"QB","TEN",7
24,"00-0037013","Zach Wilson",28,3.1,23.8,"QB","NYJ",6.9
25,"00-0033537","Deshaun Watson",36,6,31.4,"QB","CLE",6.8
26,"00-0027973","Andy Dalton",30,2.5,27.5,"QB","NO",6.4
27,"00-0033106","Jared Goff",30,2.1,28.5,"QB","DET",6.2
28,"00-0036212","Tua Tagovailoa",24,2.4,22.9,"QB","MIA",6.2
29,"00-0026143","Matt Ryan",27,2.5,25.9,"QB","IND",6.1
30,"00-0031280","Derek Carr",24,2.7,25.2,"QB","LV",5.6
31,"00-0038128","Malik Willis",27,3.9,28.6,"QB","TEN",5.5
32,"00-0034869","Sam Darnold",26,4.3,28.6,"QB","CAR",5.3
33,"00-0031800","Taylor Heinicke",28,3.1,31.6,"QB","WAS",5.2
34,"00-0032436","Jeff Driskel",20,2.9,23.5,"QB","HOU",5
35,"00-0031345","Jimmy Garoppolo",23,2.3,29.6,"QB","SF",4.6
36,"00-0035939","Bryce Perkins",19,3.8,24.2,"QB","LA",4.6
37,"00-0037834","Brock Purdy",22,2.4,29.6,"QB","SF",4.4
38,"00-0032950","Carson Wentz",22,3.1,31.6,"QB","WAS",4.1
39,"00-0036879","Sam Ehlinger",17,4.2,25.9,"QB","IND",3.9
40,"00-0033869","Mitchell Trubisky",19,3.2,29.4,"QB","PIT",3.8
41,"00-0034855","Baker Mayfield",15,3,24.2,"QB","LA",3.6
42,"00-0035146","Trace McSorley",15,3,25.6,"QB","ARI",3.4
43,"00-0034855","Baker Mayfield",16,3.2,28.6,"QB","CAR",3.3
44,"00-0037012","Trey Lance",16,8,29.6,"QB","SF",3.2
45,"00-0038122","Desmond Ridder",16,4,32.9,"QB","ATL",2.9
