"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0034753","Mark Andrews",158,9.3,35.1,"TE","BAL",26.5
2,"00-0030506","Travis Kelce",134,8.4,37.6,"TE","KC",21
3,"00-0036970","Kyle Pitts",110,6.5,32.6,"TE","ATL",19.8
4,"00-0033288","George Kittle",94,6.7,29.4,"TE","SF",18.8
5,"00-0034829","Mike Gesicki",113,6.6,35.4,"TE","MIA",18.8
6,"00-0036290","Cole Kmet",93,5.5,31.1,"TE","CHI",17.6
7,"00-0035644","Noah Fant",91,5.7,30.6,"TE","DEN",17.5
8,"00-0034383","Dalton Schultz",106,6.2,37.8,"TE","DAL",16.5
9,"00-0034351","Dallas Goedert",77,5.1,27.7,"TE","PHI",16.3
10,"00-0031610","Darren Waller",93,8.5,35.6,"TE","LV",15.4
11,"00-0035229","T.J. Hockenson",86,7.2,33.6,"TE","DET",15.1
12,"00-0034270","Tyler Conklin",87,5.1,34.2,"TE","MIN",15
13,"00-0030061","Zach Ertz",82,7.5,33.6,"TE","ARI",14.3
14,"00-0033090","Hunter Henry",75,4.7,30.9,"TE","NE",14.3
15,"00-0033110","Tyler Higbee",85,5.7,35.6,"TE","LA",14
16,"00-0033895","Gerald Everett",63,4.2,28,"TE","SEA",13.2
17,"00-0033881","Evan Engram",73,4.9,33.3,"TE","NYG",12.9
18,"00-0027061","Jared Cook",85,5.3,39.2,"TE","LAC",12.7
19,"00-0027656","Rob Gronkowski",89,7.4,42.2,"TE","TB",12.4
20,"00-0032392","Austin Hooper",62,4.1,29.5,"TE","CLE",12.4
21,"00-0036894","Pat Freiermuth",80,5,38.7,"TE","PIT",12.2
22,"00-0032134","C.J. Uzomah",63,3.9,31.9,"TE","CIN",11.6
23,"00-0035689","Dawson Knox",71,4.7,36.9,"TE","BUF",11.3
24,"00-0033885","David Njoku",53,3.5,29.5,"TE","CLE",10.6
25,"00-0033611","Ricky Seals-Jones",51,4.6,31.6,"TE","WAS",9.5
26,"00-0036422","Adam Trautman",44,4,28.1,"TE","NO",9.2
27,"00-0030181","Jack Doyle",45,3,29.8,"TE","IND",8.9
28,"00-0033217","Mo Alie-Cox",45,2.6,29.8,"TE","IND",8.9
29,"00-0033858","Jonnu Smith",45,3.2,30.9,"TE","NE",8.6
30,"00-0033455","Anthony Firkser",43,2.9,30.8,"TE","TEN",8.2
31,"00-0031273","Cameron Brate",57,3.6,42.2,"TE","TB",7.9
32,"00-0036423","Albert Okwuegbunam",40,3.1,30.6,"TE","DEN",7.7
33,"00-0032141","Geoff Swaim",40,2.5,30.8,"TE","TEN",7.6
34,"00-0034981","Foster Moreau",44,3.7,35.6,"TE","LV",7.3
35,"00-0030108","Ryan Griffin",42,3,34.5,"TE","NYJ",7.2
36,"00-0027981","Kyle Rudolph",40,2.7,33.3,"TE","NYG",7.1
37,"00-0034011","Dan Arnold",42,6,34.6,"TE","JAX",7.1
38,"00-0034798","Durham Smythe",41,2.7,35.4,"TE","MIA",6.8
39,"00-0030061","Zach Ertz",31,5.2,27.7,"TE","PHI",6.6
40,"00-0033439","Pharaoh Brown",34,2.8,30.8,"TE","HOU",6.5
41,"00-0034364","Jordan Akins",33,2.8,30.8,"TE","HOU",6.3
42,"00-0037005","Tommy Tremble",36,2.6,34,"TE","CAR",6.2
43,"00-0031951","James O'Shaughnessy",35,5,34.6,"TE","JAX",6
44,"00-0036332","Josiah Deguara",33,2.8,33.6,"TE","GB",5.8
45,"00-0034830","Hayden Hurst",31,2.6,32.6,"TE","ATL",5.6
46,"00-0036232","Harrison Bryant",28,2.2,29.5,"TE","CLE",5.6
47,"00-0034159","Will Dissly",26,2.2,28,"TE","SEA",5.5
48,"00-0036556","Brevin Jordan",28,3.5,30.8,"TE","HOU",5.3
49,"00-0034365","Ian Thomas",30,2.1,34,"TE","CAR",5.2
50,"00-0033757","Robert Tonyan",29,3.6,33.6,"TE","GB",5.1
51,"00-0024243","Marcedes Lewis",28,2.2,33.6,"TE","GB",4.9
52,"00-0031260","Logan Thomas",25,5,31.6,"TE","WAS",4.6
53,"00-0036040","Juwan Johnson",22,1.8,28.1,"TE","NO",4.6
54,"00-0036628","John Bates",25,2.3,31.6,"TE","WAS",4.6
55,"00-0027696","Jimmy Graham",24,2.2,31.1,"TE","CHI",4.5
56,"00-0032214","Tyler Kroft",25,2.8,34.5,"TE","NYJ",4.3
57,"00-0035329","Donald Parham",28,2.3,39.2,"TE","LAC",4.2
58,"00-0035222","Zach Gentry",25,2.5,38.7,"TE","PIT",3.8
59,"00-0033879","O.J. Howard",21,2.3,42.2,"TE","TB",2.9
